444 | 2026-03-11 19:26:09,494 | uber | INFO | Thread-8 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,513 | uber | INFO | Thread-9 (fun1) | Database connection established
552 | 2026-03-11 19:26:09,685 | uber | INFO | MainThread | Completed batch processing threads=10
632 | 2026-03-11 19:26:09,686 | uber | INFO | MainThread | Parent batches executed count=10
540 | 2026-03-11 19:26:09,687 | uber | INFO | MainThread | Starting batch processing total_records=0
552 | 2026-03-11 19:26:09,688 | uber | INFO | MainThread | Completed batch processing threads=0
635 | 2026-03-11 19:26:09,689 | uber | INFO | MainThread | Child batches executed count=0
444 | 2026-03-11 19:26:08,938 | uber | INFO | Thread-2 (fun1) | Database connection established
444 | 2026-03-11 19:26:08,964 | uber | INFO | Thread-1 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,192 | uber | INFO | Thread-4 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,192 | uber | INFO | Thread-6 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,193 | uber | INFO | Thread-7 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,193 | uber | INFO | Thread-3 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,194 | uber | INFO | Thread-5 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,194 | uber | INFO | Thread-8 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,201 | uber | INFO | Thread-9 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,202 | uber | INFO | Thread-10 (fun1) | Database connection established
552 | 2026-03-11 19:26:10,167 | uber | INFO | MainThread | Completed batch processing threads=10
632 | 2026-03-11 19:26:10,168 | uber | INFO | MainThread | Parent batches executed count=10
540 | 2026-03-11 19:26:10,169 | uber | INFO | MainThread | Starting batch processing total_records=0
552 | 2026-03-11 19:26:10,170 | uber | INFO | MainThread | Completed batch processing threads=0
635 | 2026-03-11 19:26:10,170 | uber | INFO | MainThread | Child batches executed count=0
444 | 2026-03-11 19:26:48,423 | uber | INFO | MainThread | Database connection established
540 | 2026-03-11 19:26:48,489 | uber | INFO | MainThread | Starting batch processing total_records=1000
444 | 2026-03-11 19:26:49,305 | uber | INFO | Thread-11 (fun1) | Database connection established
444 | 2026-03-11 19:26:49,506 | uber | INFO | Thread-13 (fun1) | Database connection established
444 | 2026-03-11 19:26:49,984 | uber | INFO | Thread-12 (fun1) | Database connection established
444 | 2026-03-11 19:26:50,023 | uber | INFO | Thread-15 (fun1) | Database connection established
444 | 2026-03-11 19:26:50,026 | uber | INFO | Thread-14 (fun1) | Database connection established
444 | 2026-03-11 19:26:50,039 | uber | INFO | Thread-17 (fun1) | Database connection established
444 | 2026-03-11 19:26:50,039 | uber | INFO | Thread-18 (fun1) | Database connection established
444 | 2026-03-11 19:26:50,075 | uber | INFO | Thread-20 (fun1) | Database connection established
444 | 2026-03-11 19:26:50,075 | uber | INFO | Thread-19 (fun1) | Database connection established
444 | 2026-03-11 19:26:50,119 | uber | INFO | Thread-16 (fun1) | Database connection established
552 | 2026-03-11 19:26:50,340 | uber | INFO | MainThread | Completed batch processing threads=10
632 | 2026-03-11 19:26:50,341 | uber | INFO | MainThread | Parent batches executed count=10
540 | 2026-03-11 19:26:50,342 | uber | INFO | MainThread | Starting batch processing total_records=0
552 | 2026-03-11 19:26:50,345 | uber | INFO | MainThread | Completed batch processing threads=0
635 | 2026-03-11 19:26:50,347 | uber | INFO | MainThread | Child batches executed count=0
444 | 2026-03-11 19:26:50,955 | uber | INFO | MainThread | Database connection established
540 | 2026-03-11 19:26:51,024 | uber | INFO | MainThread | Starting batch processing total_records=1000
444 | 2026-03-11 19:26:51,437 | uber | INFO | MainThread | Database connection established
540 | 2026-03-11 19:26:51,488 | uber | INFO | MainThread | Starting batch processing total_records=1000
444 | 2026-03-11 19:26:52,177 | uber | INFO | Thread-12 (fun1) | Database connection established
444 | 2026-03-11 19:26:52,205 | uber | INFO | Thread-13 (fun1) | Database connection established
444 | 2026-03-11 19:26:52,205 | uber | INFO | Thread-14 (fun1) | Database connection established
444 | 2026-03-11 19:26:52,354 | uber | INFO | Thread-11 (fun1) | Database connection established
444 | 2026-03-11 19:26:52,392 | uber | INFO | Thread-16 (fun1) | Database connection established
444 | 2026-03-11 19:26:52,392 | uber | INFO | Thread-15 (fun1) | Database connection established
444 | 2026-03-11 19:26:52,409 | uber | INFO | Thread-19 (fun1) | Database connection established
444 | 2026-03-11 19:26:52,409 | uber | INFO | Thread-17 (fun1) | Database connection established
444 | 2026-03-11 19:26:52,429 | uber | INFO | Thread-18 (fun1) | Database connection established
444 | 2026-03-11 19:26:52,448 | uber | INFO | Thread-20 (fun1) | Database connection established
